City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,Gunjur,13.2019,-16.7339,71.67,78,0,4.61,GM,2023-12-11 02:51:25
132,Toyooka,35.5333,134.8333,51.85,81,75,3.44,JP,2023-12-11 02:51:25
133,Ushuaia,-54.8,-68.3,44.26,57,0,9.22,AR,2023-12-11 02:49:30
134,Souillac,-20.5167,57.5167,77.38,83,40,3.44,MU,2023-12-11 02:51:25
135,Paramaribo,5.8667,-55.1667,79.92,89,7,1.01,SR,2023-12-11 02:51:25
136,Guingamp,48.4167,-3.3333,51.03,92,100,9.73,FR,2023-12-11 02:51:26
137,Kembe,4.6228,21.8865,70.38,75,72,2.46,CF,2023-12-11 02:50:17
138,Altai,46.3722,96.2583,6.46,71,54,6.22,MN,2023-12-11 02:51:26
139,Olyokminsk,60.3736,120.4264,-15.23,90,100,7.38,RU,2023-12-11 02:51:26
140,Carbonear,47.7332,-53.2148,33.15,92,84,10.0,CA,2023-12-11 02:51:26
141,Kuusamo,65.9667,29.1833,1.44,85,99,5.75,FI,2023-12-11 02:51:26
142,Namibe,-15.1961,12.1522,70.9,78,86,5.5,AO,2023-12-11 02:49:34
143,Yanam,16.7333,82.2167,75.49,76,33,5.03,IN,2023-12-11 02:51:27
144,Tsiombe,-25.3,45.4833,76.95,78,97,2.91,MG,2023-12-11 02:49:59
145,Murghob,38.1702,73.9667,-0.24,62,10,3.83,TJ,2023-12-11 02:51:27
146,Paulinia,-22.7611,-47.1542,72.63,76,98,2.75,BR,2023-12-11 02:51:27
147,Slave Lake,55.2834,-114.769,30.18,64,100,11.5,CA,2023-12-11 02:47:06
148,Port-Cartier,50.0334,-66.8654,35.82,99,100,1.68,CA,2023-12-11 02:51:27
149,Wailua Homesteads,22.0669,-159.378,79.59,80,20,10.36,US,2023-12-11 02:49:46
150,West Island,-12.1568,96.8225,82.38,69,100,12.66,CC,2023-12-11 02:49:41
151,Ispir,40.4829,40.9956,37.47,82,82,1.54,TR,2023-12-11 02:51:27
152,Arraial Do Cabo,-22.9661,-42.0278,73.13,81,100,12.1,BR,2023-12-11 02:49:44
153,Sabratah,32.7933,12.4885,57.76,63,0,12.12,LY,2023-12-11 02:51:28
154,Vernon,50.2581,-119.2691,40.3,90,100,4.61,CA,2023-12-11 02:50:10
155,North Vernon,39.0062,-85.6236,33.39,85,98,8.93,US,2023-12-11 02:51:28
